,axis-aligned,linear,quadratic,cubic
1,0.015715198420441556,0.006814185633355729,0.02355430541268344,0.015091411118783427
5,0.09130610426210244,0.031011611781420645,0.1179275398534577,0.044997436714338326
10,0.09130610426210244,0.04993980566581514,0.1179275398534577,0.057471149023365475
25,0.10900095366248863,0.05477778554459409,0.15648659335721085,0.07907791088200701
50,0.13591245564266674,0.13672011349121593,0.16169438219783067,0.11899396701535167
100,0.13591245564266674,0.13672011349121593,0.16169438219783067,0.1417406332756585
1000,0.13591245564266674,0.15522475506215538,0.18989844666471767,0.21274241062587923
